,symbol,flag,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
0,AARTIIND,0,1.52,514.5,506.1,512.6,511.07,516.04,519.47,524.44,507.64,502.67,499.24
1,ABB,0,4.06,4329.85,4140.8,4319.8,4263.48,4386.16,4452.53,4575.21,4197.11,4074.43,4008.06
2,ABBOTINDIA,0,0.89,22247.9,21940.1,22155.7,22114.57,22289.04,22422.37,22596.84,21981.24,21806.77,21673.44
3,ABCAPITAL,0,0.17,182.0,176.35,177.65,178.67,180.99,184.32,186.64,175.34,173.02,169.69
4,ABFRL,1,5.02,212.0,200.3,210.35,207.55,214.8,219.25,226.5,203.1,195.85,191.4
5,ACC,0,0.46,1859.5,1835.8,1846.95,1847.42,1859.04,1871.12,1882.74,1835.34,1823.72,1811.64
6,ADANIENT,0,-0.9,2505.0,2442.2,2462.55,2469.92,2497.64,2532.72,2560.44,2434.84,2407.12,2372.04
7,ADANIPORTS,0,-0.57,742.4,735.05,737.85,738.43,741.81,745.78,749.16,734.46,731.08,727.11
8,ALKEM,0,1.25,3450.95,3350.0,3389.45,3396.8,3443.6,3497.75,3544.55,3342.65,3295.85,3241.7
9,AMARAJABAT,0,-0.1,627.1,621.0,624.4,624.17,627.34,630.27,633.44,621.24,618.07,615.14
10,AMBUJACEM,0,0.58,463.8,455.55,458.95,459.43,463.31,467.68,471.56,455.06,451.18,446.81
11,APOLLOHOSP,0,0.53,4990.0,4916.75,4951.05,4952.6,4988.45,5025.85,5061.7,4915.2,4879.35,4841.95
12,APOLLOTYRE,0,0.43,410.6,404.25,408.55,407.8,411.35,414.15,417.7,405.0,401.45,398.65
13,ASHOKLEY,0,0.79,154.75,153.0,154.05,153.93,154.86,155.68,156.61,153.11,152.18,151.36
14,ASIANPAINT,0,2.13,3272.0,3205.15,3262.85,3246.67,3288.19,3313.52,3355.04,3221.34,3179.82,3154.49
15,ASTRAL,0,2.01,2011.0,1955.7,2006.95,1991.22,2026.74,2046.52,2082.04,1971.44,1935.92,1916.14
16,ATUL,0,3.52,6939.95,6695.0,6914.35,6849.77,7004.54,7094.72,7249.49,6759.59,6604.82,6514.64
17,AUBANK,0,0.31,765.65,758.15,763.8,762.53,766.91,770.03,774.41,759.41,755.03,751.91
18,AUROPHARMA,0,2.7,683.5,661.1,681.6,675.4,689.7,697.8,712.1,667.3,653.0,644.9
19,AXISBANK,0,1.2,989.7,974.3,985.85,983.28,992.26,998.68,1007.66,976.86,967.88,961.46
20,BAJAJ-AUTO,0,-0.29,4795.0,4746.45,4755.95,4765.8,4785.15,4814.35,4833.7,4736.6,4717.25,4688.05
21,BAJAJFINSV,0,1.38,1492.0,1470.0,1486.2,1482.73,1495.46,1504.73,1517.46,1473.46,1460.73,1451.46
22,BAJFINANCE,0,0.97,7200.0,7100.0,7166.75,7155.58,7211.16,7255.58,7311.16,7111.16,7055.58,7011.16
23,BALKRISIND,0,1.0,2328.0,2288.1,2322.6,2312.9,2337.7,2352.8,2377.6,2297.8,2273.0,2257.9
24,BALRAMCHIN,0,-0.55,409.8,400.05,401.35,403.73,407.41,413.48,417.16,397.66,393.98,387.91
25,BANDHANBNK,0,1.77,266.8,257.0,261.65,261.82,266.64,271.62,276.44,256.84,252.02,247.04
26,BANKBARODA,0,0.13,188.7,186.8,187.25,187.58,188.36,189.48,190.26,186.46,185.68,184.56
27,BATAINDIA,0,1.65,1605.0,1578.0,1599.4,1594.13,1610.26,1621.13,1637.26,1583.26,1567.13,1556.26
28,BEL,0,2.52,122.45,118.9,122.1,121.15,123.4,124.7,126.95,119.85,117.6,116.3
29,BERGEPAINT,0,3.22,673.0,651.55,669.15,664.57,677.59,686.02,699.04,656.14,643.12,634.69
30,BHARATFORG,0,0.56,831.85,822.6,829.6,828.02,833.44,837.27,842.69,824.19,818.77,814.94
31,BHARTIARTL,0,-0.24,844.0,832.75,834.35,837.03,841.31,848.28,852.56,830.06,825.78,818.81
32,BHEL,0,-0.82,86.75,84.8,85.1,85.55,86.3,87.5,88.25,84.35,83.6,82.4
33,BIOCON,0,0.02,240.45,237.65,239.15,239.08,240.51,241.88,243.31,237.71,236.28,234.91
34,BOSCHLTD,0,0.34,19284.8,18970.0,19060.1,19104.97,19239.94,19419.77,19554.74,18925.14,18790.17,18610.34
35,BPCL,0,0.52,376.9,372.4,373.6,374.3,376.2,378.8,380.7,371.7,369.8,367.2
36,BRITANNIA,0,0.81,4951.65,4892.3,4940.1,4928.02,4963.74,4987.37,5023.09,4904.39,4868.67,4845.04
37,BSOFT,0,-0.53,342.5,335.0,335.9,337.8,340.6,345.3,348.1,333.1,330.3,325.6
38,CANBK,0,0.0,316.4,313.25,314.9,314.85,316.45,318.0,319.6,313.3,311.7,310.15
39,CANFINHOME,0,0.27,754.45,740.8,746.3,747.18,753.56,760.83,767.21,739.91,733.53,726.26
40,CHAMBLFERT,0,0.54,281.15,276.55,279.95,279.22,281.89,283.82,286.49,277.29,274.62,272.69
41,CHOLAFIN,0,2.67,1104.4,1075.6,1101.8,1093.93,1112.26,1122.73,1141.06,1083.46,1065.13,1054.66
42,CIPLA,0,2.24,983.85,957.0,981.5,974.12,991.24,1000.97,1018.09,964.39,947.27,937.54
43,COALINDIA,0,-0.02,230.3,228.0,228.95,229.08,230.16,231.38,232.46,227.86,226.78,225.56
44,COFORGE,0,1.37,4578.0,4500.0,4567.9,4548.63,4597.26,4626.63,4675.26,4519.26,4470.63,4441.26
45,COLPAL,0,1.33,1668.0,1625.0,1647.85,1646.95,1668.9,1689.95,1711.9,1625.9,1603.95,1582.9
46,CONCOR,0,-1.86,666.15,646.05,651.05,654.42,662.79,674.52,682.89,642.69,634.32,622.59
47,COROMANDEL,0,0.27,951.5,931.35,936.3,939.72,948.09,959.87,968.24,927.94,919.57,907.79
48,CROMPTON,0,3.44,288.25,277.0,286.9,284.05,291.1,295.3,302.35,279.85,272.8,268.6
49,CUB,0,-0.04,125.25,124.2,124.4,124.62,125.04,125.67,126.09,123.99,123.57,122.94
50,CUMMINSIND,0,2.99,1848.0,1786.0,1843.2,1825.73,1865.46,1887.73,1927.46,1803.46,1763.73,1741.46
51,DABUR,0,1.24,562.9,551.3,560.45,558.22,565.14,569.82,576.74,553.54,546.62,541.94
52,DALBHARAT,0,2.62,2168.9,2109.0,2157.3,2145.07,2181.14,2204.97,2241.04,2121.24,2085.17,2061.34
53,DEEPAKNTR,0,2.04,2073.35,2029.3,2069.25,2057.3,2085.3,2101.35,2129.35,2041.25,2013.25,1997.2
54,DELTACORP,0,-1.0,250.95,246.0,247.6,248.18,250.36,253.13,255.31,245.41,243.23,240.46
55,DIVISLAB,0,1.43,3493.95,3435.0,3487.7,3472.22,3509.44,3531.17,3568.39,3450.49,3413.27,3391.54
56,DIXON,0,3.13,4385.0,4189.0,4315.9,4296.63,4404.26,4492.63,4600.26,4208.26,4100.63,4012.26
57,DLF,0,2.65,504.75,488.65,503.6,499.0,509.35,515.1,525.45,493.25,482.9,477.15
58,DRREDDY,0,0.56,4728.8,4658.05,4702.0,4696.28,4734.51,4767.03,4805.26,4663.76,4625.53,4593.01
59,EICHERMOT,0,0.06,3640.75,3583.0,3592.65,3605.47,3627.94,3663.22,3685.69,3570.19,3547.72,3512.44
60,ESCORTS,0,1.32,2191.2,2157.0,2186.85,2178.35,2199.7,2212.55,2233.9,2165.5,2144.15,2131.3
