symbol,flag,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,0,1.4,457.5,448.5,455.5,453.83,459.16,462.83,468.16,450.16,444.83,441.16
ABCAPITAL,0,2.53,189.5,183.8,188.45,187.25,190.7,192.95,196.4,185.0,181.55,179.3
ABFRL,0,-1.9,219.5,213.1,213.75,215.45,217.8,221.85,224.2,211.4,209.05,205.0
ACC,0,0.36,1794.95,1764.15,1789.65,1782.92,1801.69,1813.72,1832.49,1770.89,1752.12,1740.09
ADANIENT,0,-1.44,2432.0,2380.45,2387.9,2400.12,2419.79,2451.67,2471.34,2368.24,2348.57,2316.69
ADANIPORTS,0,-0.78,732.45,722.0,724.2,726.22,730.44,736.67,740.89,719.99,715.77,709.54
AMARAJABAT,0,2.99,703.0,681.0,699.75,694.58,708.16,716.58,730.16,686.16,672.58,664.16
AMBUJACEM,0,0.43,423.0,415.0,421.55,419.85,424.7,427.85,432.7,416.7,411.85,408.7
APOLLOTYRE,0,-0.17,436.5,431.0,432.6,433.37,435.74,438.87,441.24,430.24,427.87,424.74
ASHOKLEY,0,2.04,172.75,167.05,169.8,169.87,172.69,175.57,178.39,166.99,164.17,161.29
ASTRAL,0,3.39,1846.2,1775.25,1839.55,1820.33,1865.41,1891.28,1936.36,1794.46,1749.38,1723.51
AUBANK,0,0.94,772.9,753.15,770.75,765.6,778.05,785.35,797.8,758.3,745.85,738.55
AUROPHARMA,0,-0.18,744.9,730.65,735.05,736.87,743.09,751.12,757.34,728.84,722.62,714.59
AXISBANK,0,-0.34,957.55,947.0,950.0,951.52,956.04,962.07,966.59,945.49,940.97,934.94
BAJAJFINSV,0,0.05,1605.1,1581.25,1593.2,1593.18,1605.11,1617.03,1628.96,1581.26,1569.33,1557.41
BALKRISIND,0,2.52,2425.3,2326.55,2399.3,2383.72,2440.89,2482.47,2539.64,2342.14,2284.97,2243.39
BALRAMCHIN,0,0.46,391.75,382.0,384.2,385.98,389.96,395.73,399.71,380.21,376.23,370.46
BANDHANBNK,0,-0.47,224.25,220.55,221.7,222.17,223.79,225.87,227.49,220.09,218.47,216.39
